Start Index|Event Name|Start Time|Elapsed Time|Workbook|Worksheet|Dashboard|DataSource Name|CacheHit|Command|Action Name|Command Name|DataEngine API|Dialog Name|Task Name|Job Name|Processor Time Inclusive|Processor Time Exclusive|User Time Inclusive|User Time Exclusive|ContextId|ThreadID|Depth|Path|Level0|Level1|Level2|Level3|Level4|Level5|Level6|Level7|Level8|Level9|Level10|Level11|Level12|Level13|Level14|Level15|Level16|Level17|Level18|Level19|Session ID|Request ID|URL|XML Size|XML Text
0|commands-controller.invoke-command|1551.743442000|0.000181200||||||||tabui:record-perf||||GenericLambdaJob|0.000|0.000|0.000|0.000|5178|14648|5|JobManager.async-task.task-job.commands-controller.invoke-command|JobManager|async-task|task-job|commands-controller|invoke-command||||||||||||||||||||
1|async-task.task-job|1551.743298700|0.000367200||||||||||||GenericLambdaJob|0.000|0.000|0.000|0.000|5178|14648|3|JobManager.async-task.task-job|JobManager|async-task|task-job||||||||||||||||||||||
2|JobManager|1551.743286300|0.000381600||||||||||||GenericLambdaJob|0.000|0.000|0.000|0.000|5178|14648|1|JobManager|JobManager||||||||||||||||||||||||
3|env|1551.752767700|0.001514300||||||||tabui:record-perf||||RecordPerformanceJob|0.001|0.001|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.env|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|env|||||||||||||||
4|async-task.task-job|1551.743732300|0.010610800||||||||tabui:record-perf||||RecordPerformanceJob|0.010|0.010|0.000|0.000|5182|14648|8|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|||||||||||||||||
5|JobManager|1551.743727100|0.010618300||||||||tabui:record-perf||||RecordPerformanceJob|0.010|0.000|0.000|0.000|5182|14648|6|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|||||||||||||||||||
6|SortIndicatorsBuilder::Build|1552.739928300|0.000052800||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.SortIndicatorsBuilder::Build|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|SortIndicatorsBuilder::Build|||||||||||||||
7|SortIndicatorsBuilder::Build|1552.748578900|0.000075900||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.SortIndicatorsBuilder::Build|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|SortIndicatorsBuilder::Build|||||||||||||||
8|SortIndicatorsBuilder::Build|1552.754724800|0.000053200||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.SortIndicatorsBuilder::Build|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|SortIndicatorsBuilder::Build|||||||||||||||
9|SortIndicatorsBuilder::Build|1552.761562000|0.000057300||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.SortIndicatorsBuilder::Build|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|SortIndicatorsBuilder::Build|||||||||||||||
10|SortIndicatorsBuilder::Build|1552.792306200|0.000050900||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.SortIndicatorsBuilder::Build|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|SortIndicatorsBuilder::Build|||||||||||||||
11|async-task.task-job|1552.854939200|0.001288400||||||||tabui:record-perf||||LabelsJob|0.001|0.001|0.000|0.000|5188|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|||||||||||||
12|JobManager|1552.854909100|0.001320900||||||||tabui:record-perf||||LabelsJob|0.001|0.000|0.000|0.000|5188|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|||||||||||||||
13|async-task.task-job|1552.856293900|0.003010800||||||||tabui:record-perf||||VisualWidget.ClearHoverActionsJob|0.003|0.003|0.000|0.000|5190|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|||||||||||||
14|JobManager|1552.856286500|0.003020200||||||||tabui:record-perf||||VisualWidget.ClearHoverActionsJob|0.003|0.000|0.000|0.000|5190|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|||||||||||||||
15|async-task.task-job|1555.067251400|0.043345600||||||||tabui:record-perf||||LowMemoryJob|0.043|0.043|0.000|0.000|5194|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|||||||||||||
16|JobManager|1555.067233600|0.043366700||||||||tabui:record-perf||||LowMemoryJob|0.043|0.000|0.000|0.000|5194|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|||||||||||||||
17|Action|1559.406732800|0.000204700|initial||||||AutoBrushingAction|tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|11|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Action.Action|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Action|Action||||||||||||||
18|Action|1559.405266800|0.001707100|initial||||||OnSelectAction|tabui:record-perf||||RecordPerformanceJob|0.001|0.001|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Action|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Action|||||||||||||||
19|async-task.task-tbb|1559.443224800|0.000702300|||||||||||||0.000|0.000|0.000|0.000|5196|3248|4|RenderActive.Task.async-task.task-tbb|RenderActive|Task|async-task|task-tbb|||||||||||||||||||||
20|Task|1559.443207800|0.000724200|||||||||||||0.000|0.000|0.000|0.000|5196|3248|2|RenderActive.Task|RenderActive|Task|||||||||||||||||||||||
21|RenderActive|1559.442575600|0.024057000|||||||||||||0.024|0.024|0.000|0.000|||1|RenderActive|RenderActive||||||||||||||||||||||||
22|Workspace_UpdateThumbnailUI|1559.545872400|0.003885600||||||||||||View thumbnail job|0.003|0.003|0.000|0.000|5200|14648|5|RenderActive.JobManager.async-task.task-job.Workspace_UpdateThumbnailUI|RenderActive|JobManager|async-task|task-job|Workspace_UpdateThumbnailUI||||||||||||||||||||
23|async-task.task-job|1559.539996900|0.010303100||||||||||||View thumbnail job|0.010|0.006|0.000|0.000|5200|14648|4|RenderActive.JobManager.async-task.task-job|RenderActive|JobManager|async-task|task-job|||||||||||||||||||||
24|JobManager|1559.539983700|0.010318800||||||||||||View thumbnail job|0.010|0.000|0.000|0.000|5200|14648|2|RenderActive.JobManager|RenderActive|JobManager|||||||||||||||||||||||
